"","book","reviewer","rating","review"
"35","Wuthering Heights"," 26, 2013 Barry Pierce","liked it"," I hated everyone. I mean how can you like anyone in this novel People say Nelly Dean is a nice character but we don t know anything about her past She is the most unreliable narrator in the history of fiction I ve heard people say this is a love story. Well, I don t think they actually read this novel. If tormented souls literally digging up corpses of loved ones is your idea of love then you are probably Dexter or someone. I don t even know how to review this. Near the end I had to take it chapter by chapter. It was SO depressing I couldn t even stand it I read a chapter, then watched Clueless, read a chapter, then watched Labyrinth, read a chapter, then watched Romy and Michele s High School Reunion, I needed to flush each chapter out with teen comedies DO NOT read this book if you are in any way depressed or sad about something because it will drive you mental and you ll end up like Heathcliff. Even though I hated everyone and everything was so depressing, I still loved it. It s not up there with her sister s work Jane Eyre but it s not as boring as Pride and Prejudice . "
"36","Wuthering Heights"," 07, 2016 Fernando","it was amazing"," HP Lovecraft ubicaba este libro entre los mejores del g nero del terror. Para l, el hecho de que Heathcliff profanara dos veces la tumba de Catalina era tremendo. Tambi n nos da una idea del punto sin retorno al que el amor nos puede llevar.Esta historia tuvo caracter sticas emblem tica, poderosa y revolucionaria para la poca en que se escribi . Emily Bront solamente escribi este libro, pero adquiri su gloria eterna al relatarnos una tormentosa e inolvidable historia de amor que sale de todos los c nones rom nticos posibles y que elegir a antes que cualquiera de Jane Austen. "
"37","Wuthering Heights"," 19, 2008 J","it was amazing"," When one thinks of books of the past, one typically thinks that today s novels and entertainments are far more violent and vicious. There is a tendency to think of our own generation or the one or two immediately preceding ours as having invented sexual perversions, brutal literature, and genre bending and mixing. No one truly believes this intently, but it is a kind of humming substratum to our lives. That previous ages were simpler and more innocent and better and more pure and wholesome is not only a nostalgic commonplace, but it also one of the traditional props to conservatism. Back when I was a kid is a statement denoting how old you ve become and is either followed with things were a lot more etc. or we never etc. The first few pages of Wuthering Heights must surely disabuse of anyone of this notion of the good old days. We are introduced to Mr. Lockwood, a young man in retirement from some private sorrow, who ends up at Thrushcross Grange. Upon visiting the home of his landlord, the famed Mr. Heathcliff, he is set upon by a dog, Heathcliff abuses both him and all of his servants, Joseph, Hareton Earnshaw who is also Heathcliff s nephew , and his own daughter in law. What unfolds is a tale of madness, revenge, rage, and abuse that puts many a melodramatic serial killer novel of today to shame for the sheer vituperrious spite.And as the book progresses, Emily Bront shows herself no slouch in putting plain savagery and abomination on the page. Catherine, the young sister of the adopted Heathcliff, with whom he falls in love, as just a teenage girl slaps a servant, beats a small baby, then turns on her cousin Edgar Linton and boxes his ear. Her older brother, Hindley, gets drunk and attacks everyone, plays with his rifle, abuses his child, and tries to shove a carving knife down his servant s throat. Isabelle Linton, the sister of Edgar and Heathcliff s later wife , on being held by Catherine, sinks her fingernails into the woman s arm. After her departure, Catherine tells Heathcliff that such nails would dart for his eyes to this he promises he d wrench them off her fingers should she even try. When a boy, Hareton throws a rock at his nurse and damns her when he first sees her after many years.All in all, the book is a primer on the vicious circle that is revenge and hatred. One can easily imagine, while reading this book, all the characters in a circle, everyone beating the person first in front of him or her and being beaten by the one behind in turn. And so it turns, on and on. If literature of that time was generally expected to demonstrate some kind of moral, Wuthering Heights demonstrates it in the inverse.What sets everything in motion is the maltreatment of the found orphan, Heathcliff which starts from the very beginning with everyone calling him an it. His ferocious revenge is, while truly awful in all senses of the word, such a profound manifestation of hatred against everything, against the entire world, himself included, that he rises or is it sinks to the level of supreme tragic hero. He is like a Samson destroying the temple with his own soul within it. Emily Bront is remarkably less sympathetic to Catherine, with whom she deals rather sternly whereas Heathcliff gets the backlit, shadowy, windswept fen romanticism. She is Frankenstein, while he is Shelley s monster, a tortured agent of vengeance.What is amusing about this kind of novel, amusing for literally dozens of novels of the nineteenth century, is the level of suspension of disbelief the mechanics of the book require. Firstly, there is the narrator himself, Mr. Lockwood, Heathcliff s tenant, who tells the story of being told the tale by Ellen Dean, the nurse who witnessed most events and tells it in a pastiche of letters, personal recollections, gossip told to her, and other such secondary type narrative devices. It is a story about a story about various stories. And we are to accept Ellen having such a detailed memory as well as Mr. Lockwood.This is something we simply overlook after a certain point that we disregard that we overlook it is rather interesting and a stirring testimonial to Emily Bront s skill as a novelist. That this should be her only novel is a powerful statement to its lasting fame and a melancholy fact that such writing should be confined solely between two covers and no more. I never finish Wuthering Heights but wish there were a second Emily Bront novel to read. Alas for the tuberculosis that ravished the family at least three of the sisters died from it, and there is conflicting evidence that it killed the remaining sister and the only brother . That Emily had two sisters who were also novelists is scant consolation, no matter how enjoyable their novels may be. That she died at just thirty is as tragic as Keats death at twenty five. That the Oxford English Dictionary to this day doesn t recognize and define wuthering is a shame in and of itself. "
"38","Wuthering Heights"," 30, 2011 Brad","it was amazing"," Wuthering Heights is many things. A late gothic ghost story. A tale of love and revenge. A chronicle of violence physical, mental, emotional and social. A dark peek into human nature. A condemnation of England s broken class system. A sort of anti Austen book without manners.I ve loved it since I first read it in grade eight. It s another of the books my crazy cool Mom foisted upon me in her big, three year pushing of classics that defined my reading tastes for the rest of my life. I love the book so much, and Emily Bront s leading man, that I named my daughter Bront dooming her, no doubt, to a life of pain, depression, and unfinished business, sorry T .This time through, however, I found myself not caring a whit about Heathcliff and Catherine the Older, or Hareton and Catherine the Younger, or Edgar, or Isabella, or Linton the king whinger. I found myself caring about Nelly Dean, and only Nelly Dean. And in so doing I discovered another thing that Wuthering Heights is the most circuitous character sketch in the English language. To read Wuthering Heights caring only about Nelly is to read an entirely different story. Suddenly the ill fated love of Heathcliff and Cathy the torture and pain and ghosts and revenge becomes the way Nelly reveals herself, and the unreliability of Nelly as a narrator becomes the very stuff of herself. Every action she comments on, every action she claims to take, every piece of those tales she tells Lockwood cease to be about her subjects and, instead, reveal her as the subject. She is the star of her own narrative, and all those characters she claims to love or hate are mere supporting players to a servant s tale of herself. Which, for me, makes Wuthering Heights even more brilliant than I ve always believed it to be. I wonder what a stage version of this would look like if one were to use Nelly s perspective AND make her the focus, subverting her attempts to obfuscate her importance. Maybe I should take a crack at it. Or maybe I could just pass the idea on to my very own Bront . I bet she could do something magnificent with it someday. "
"39","Wuthering Heights"," 13, 2016 Perry","it was amazing"," Be Not Afeared, the Nithing, Knavish Bastart Haunts Not These MoorsPrithee, bear with me whilst I delate the goody gammer spinnin her fudge spectin a baseborn blackguard hight Heathcliff. Forsooth, mayhap no truer worsen bastart roamd these moors. The tale mazed me so, verily I says to the gammer Nelly to hither and buss my breech. Natheless, I shall forfend you as compeer, do not be affright. In days of auld, tis said the lad as a recreant dandiprat ran off when his feminal coz, who was wont to be froward, told gammer tafect that Heathcliff was a lil lurdan lad she nevert marry. He were ware as he was e er in shadows lurked. Heathcliff dreed this thither and ran off to turn afew years later rich whenst he says to coz she is a mean minded, slavish brach for marrying such a nilly poltroon. Peradventure, Heathcliff may be one of the worst nithing knaves in thy encounters, Nay, the worst The bastart rapscallion shook earth to see the corse an crumpet of his lady coz, God rest hern soul. Howbeit I indite you to come hither and con the book forn your self. Listen how he goes on bout his niece as she sets side Heathcliff s own flesh n blood How she does stare It s odd what a savage feeling I have to anything that seems afraid of me Had I been born where laws are less strict and tastes less dainty, I should treat myself to a slow vivisection of those two, as an evening s amusement. Torn tween 4 and 5. Atmospherically maybe the darkest mood and place novel in my reading history. Will give 5. "
"40","Wuthering Heights"," 28, 2015 Samantha","it was ok"," Review and thoughts to come. Wait in great anticipation."
"41","Wuthering Heights"," 18, 2008 Mike","it was ok"," This review has been hidden because it contains spoilers. To view it, click here. It s not often that I hate a character. Sure, I ve read plenty of books with all manner of villains and antagonists, but they ve always been people that either had good reason for what they were doing or were simply Snidley Whiplash style evil for no good reason sorts and it s hard to really hate either brand. Heck, a lot of the time the villains are more interesting and enjoyable then the heroes. So I have to pause here and say congratulations Miss Bronte, you ve managed what no one else to dat It s not often that I hate a character. Sure, I ve read plenty of books with all manner of villains and antagonists, but they ve always been people that either had good reason for what they were doing or were simply Snidley Whiplash style evil for no good reason sorts and it s hard to really hate either brand. Heck, a lot of the time the villains are more interesting and enjoyable then the heroes. So I have to pause here and say congratulations Miss Bronte, you ve managed what no one else to date has been able to accomplish. I hate Heathcliff,He is arguably one of the stupidest, pettiest, most self centered and spiteful characters in literature. And by stupid I don t mean unintelligent throughout the entire book he displays, if not a book larnin type of smarts, at least a serious level of cunning and guile , I mean this is a man who makes a critically poor choice his love for Catherine. Catherine manages to rival Heathcliff by being a conceited, spoiled, tantrum throwing baby all the way through her womanhood, and therein lies the crux of the problem with this whole book. The entire plot hinges on Heathcliff and Catherine s love, and Heathcliff s revenge after her death against those he blames for keeping the two lovers apart. But Catherine is so blatantly unlikeable that I just couldn t buy into their romance, and, by extension, the rest of the novel. It would be like writing Pol Pot a love letter no matter how pure the words and intent, the entire basis of the act is so ludicrous it would be impossible to take seriously. Every time he performs some loathsome deed it s multiplied a hundredfold when you remember the daffy bitch who s memory he s doing it for by the end of the book you can t help but feel that the only true injustice in the story is that Heathcliff dies in his sleep instead of being torn apart by animals.Not that I can really lay all of the character flaws at Heathcliff and Catherine s doorsteps the dramatis personae for Wuthering Heights is a veritable buffet of loathsomeness. Cathy is almost as spoiled and conceited as her mother. Linton is spineless, manipulative, whiny little husk and clearly not a bully for the sole reason that he s too sickly to be one. You get the feeling that he s the kind of kid that would torture animals if he could, and Cathy s affections for him make as little sense as Heathcliff s love for Catherine. Hindley is spiteful, cowardly, drunken wreck, and his abuse of Heathcliff at the beginning of the book probably makes him the most responsible for every bad thing that happens in the story next to Heathcliff himself. Isabella is a brainless, starry eyed idiot Edgar falls in love with Catherine, marries her, and suffers the consequences despite mounds of evidence that bitch be crazy Joseph is a raving fundamentalist. The only two characters in the entire book you can feel at all bad for are Nelly Dean, who s drug into pretty much everything bad that happens against her will, and Hareton , who s character flaws are by and large thrust on him by others and aren t his fault. In the end, the characters torpedo the story. Although the novel is beautifully written and evocative, there s just so little to enjoy here that it s hard for me to imagine opening this book up again any time soon. "
"42","Wuthering Heights"," 11, 2015 Alex","it was amazing"," Wuthering Heights takes place in a dark, tiny, parallel place, like one of those rolled up dimensions string theorists like to talk about. Whether the supernatural exists there is uncertain. The law doesn t, except abstractly. It s a more violent world than ours, more intense. Like the writer of the Penguin edition s preface, I had been under the impression that Wuthering Heights was a great love story. Instead it s a great hate story. A likable even tolerable character doesn t show up before Catherine junior we ll call her Cathy until then we have to negotiate the milquetoast Edgar, the narcissistic and mentally unstable Catherine, the nurse Ellen, who makes Juliet s nurse look like an angel, and, of course, Heathcliff, who is possibly possessed by a demon.Toward the end of the book we get a mirror image of view spoiler the Catherine Heathcliff relationship in Cathy and Hareton. Cathy has Edgar s sweetness and Catherine s spirit, which turns out to be a pretty good mix and although Heathcliff tries to turn Hareton into himself, since Hareton is not possessed by a demon he just turns out rugged. While Cathy can be impetuous and cruel, like when she says He s just like a dog...or a cart horse Ch. 32 , Hareton refuses to take her bait. Cathy isn t as nuts as her mother, but still, I think the point here is that Catherine might have had a chance at happiness, but was destroyed by Heathcliff s malice. hide spoiler I can see why a book about awful people destroying each other might turn some folks off. But I like my coffee black, so I loved every minute of it. This is a book that knows fiercely what it is. I felt like an outsider here a feeling heightened by the book s storytelling framing device, which serves as an epistolary does to distance the reader from the action. I don t fully understand this world but Emily does, and she adheres scrupulously to its weird rules. It s amazingly tightly plotted and conceived. And a total page turner, which isn t unimportant. It s black, and melodramatic, and strange, and brilliant. "
"43","Wuthering Heights"," 02, 2016 Alice Lippart","it was amazing"," Dark, atmospheric, disturbing and fascinating. I love reading about horrible characters, doomed romances, bleakness and darkness, so this was perfect for me. It s awfully dramatic and ridiculous at times, but I loved it all."
"44","Wuthering Heights"," 25, 2016 Jasmine","it was amazing"," I promise, one day I will write a proper review of Emily Bront s Wuthering Heights in order to pay tribute to this masterpiece of English Literature. Emily Bront s powerful writing struck me like a thunderbolt. I was not anticipating this at all, for I did not have great expectations when I started reading the book. I was aware that a lot of readers dislike the book. Yes, there is brutality, rawness, untamed ferocity, drama. Only a highly talented writer like Emily Bront would be capable of melting these ingredients into a fascinating tale of passion, obsession and vengeance. While reading it, the story often reminded me of a Greek tragedy with infuriated earth goddesses a.k.a. Catherine and ancient vengeful sky gods a.k.a. Heathcliff . Nonetheless, in the end there is still hope of overcoming illiteracy and resentfulness. With her story Emily Bront clearly overstepped Victorian boundaries regarding gender roles, morality, race and social ranks. How was it possible for a 29 year old parson s daughter in 1847 to write such an unconventional compelling story No wonder Victorian readers were shocked. I, for my part, absolutely loved Emily s wonderful structured story with unreliable narrators and strong characters. Be assured, this book will not let go of me so quickly. I will come back and write another review. In the meantime, have a look at the following short video from The British Library. It gives you a fascinating insight without too many spoilers. https www.youtube.com watch v fyGNV... "
"45","Wuthering Heights"," 03, 2011 Paul Bryant","it was amazing"," Sayings of Georgia, No 9 This book says that you really shouldn t get into a relationship where if they die and get buried you think it s a good idea to dig them up again."
"46","Wuthering Heights"," 28, 2007 Nicole","it was amazing"," The first time I read Wuthering Heights in English class, senior year I could not stand it. Turns out, I couldn t stand my Senior Year English teacher. Had to re read it for a Gothic Lit course in college and, though dreading it, I had the complete opposite reaction to the book.It s now one of my top five favorite books I ve ever read. It is so layered and complex emotionally, psychologically, technically that every time I read it my copy is so battered and marked up I find more and more details and perspectives on characters, scenes, and the whole book. My favorite feature of the book is definitely the layered narraration. As readers, we are first introduced to Mr Lockwood. as he approaches the Heights and the end of our tale. But after he settles at the Grange and begins to speak with Nellie Dean, the story truly begins to unfold. Though neither are entirely reliable for their own sakes, the unrealiability of narraration is compounded when we realize that in many cases, Nellie herself is not a first hand witness to these events. What has she emphasized What has she left out What has she simply gotten wrong or made up And how much of her and Mr. Lockwood honesty really matters Together they tell a beautiful and heartbreaking story. Many time it seems as though stories about love grow bigger than the love itself. This is not the case here, but it is not always love either. Wuthering Heights more intimately explores the darker side of love how much we can hate the one with love for NOT loving us in return, and how much MORE we may hate them if they do. "
"47","Wuthering Heights"," 25, 2016 Xime Garc a","it was amazing"," HE VUELTO Y EN FORMA DE FICHAS Este libro... este libro... I cannot look down to this floor, but her features are shaped in the flags In every cloud, in every tree filling the air at night, and caught by glimpses in every object by day I am surrounded with her image The most ordinary faces of men and women my own features mock me with a resemblance. The entire world is a dreadful collection of memoranda that she did exist, and that I have lost her Realmente me cuesta encontrar palabras. Est tan bellamente escrito que merece ser le do en voz alta y pocas veces me leer n escribir esa declaraci n . Los personajes son tan despreciables todos que termin s compadeci ndote de la mayor a n tese que puse la mayor a, algunos est n m s all de lo perdonable . Hac a mucho tiempo mucho que no sent a esta atracci n por una lectura, esto de querer volver a casa mientras cursaba o desear que un evento se terminase r pido para poder seguir leyendo el libro. M s de una vez tuve ganas de llorar, no porque fuera emotivo o porque el texto lo demandase, sino por las atrocidades que se narraban, las tragedias que viv an los personajes, sus desdichas y sus aburridas y sometidas vidas. Dios santo. Poco puedo decir de la historia sin arruin rsela a alguno, pero no puedo dejar de pensar en lo que acabo de terminar de leer. Hay muchos vicios expuestos, Heathcliff no escatima en demostrarlo, s pero tambi n hay tanto detr s, tanto impl cito, y que nutre m s y m s la naturaleza diab lica, tanto de ese personaje que creo es el mejor villano que tuve el placer de leer como de la novela en s . El maltrato, el sometimiento, la alienaci n a la que fueron forzadas cada una de las personas que nos cruzamos en el libro, me dejaron con el coraz n abierto y la cabeza repasando conceptos una y otra vez. Estaba emocionada porque este es un libro que mi mam ley en su ni ez, y siempre que encuentro algo en com n con ella Mujercitas, por ejemplo , me gusta ir comentando lo que leo para conocer su opini n. La mala noticia fue que de este no se acordaba nada, solo que era oscuro, que hab a locura, que era siniestro. A medida que lo le a, le iba diciendo lo que pasaba para que se fuera acordando. Para el final del libro, le dije que era uno de los mejores que le , y ella, sorprendida, me cuestion tal declaraci n. Le relat el final, cont ndole con detalles y hasta traduciendo un par de pasajes, y me dijo Piel de gallina . Me apena no haber podido leerlo de un tir n. Comenc a cursar temprano, mis horas madrugadoras de lectura se acabaron, y para colmo ten a que estudiar para una materia, as que poco tiempo pod a dedicarle al libro. Sin embargo, aprecio que la lectura me haya tomado su tiempo as pude disfrutarlo m s, saborearlo m s. Conf o quiero creer en que no hay Heathcliffs all afuera, que nuestra querida Emily no se inspir en nadie al crear a tal terrible criatura, porque el mundo s que ser a un lugar m s oscuro de existir gente como l. Debe haber. No cuesta nada so ar. Porque lo que da m s miedo de Heathcliff, es que es tan humano y mundano, que probablemente habite algo de l en muchas almas. Si tuviera que describirlo en una sola palabra, yo dir a que es un demonio, como muchos se decantaron en nombrarlo durante la historia. Nada de h roe rom ntico. Es el ser m s despreciable que existe en el mundo literario. Me hab an dicho de todo de este libro que no es rom ntico, que es oscuro, hasta siniestro que me espere discusiones y violencia, que me espere locura y desaz n, depresi n, represi n y aislamiento. Claramente no es un libro donde vuelen sesos y haya puteadas a lo tonto, y sin embargo, cu nta maldad encierra, cu nta crueldad. Esta noche sue o con Heathcliff. Para los fans de The Walking Dead es com n ver a Andrew Lincoln haciendo de Rick Grimes, con su barba ensangrentada, su rostro sucio y empu ando su rev lver. Hay una adaptaci n de esta novela del a o 2009 en donde tendr n el placer de ver a Andrew haciendo de Edgar Linton, un se orito limpito, elegante, erguido y con buenos modales acompa ado de Tom Hardy haciendo de Heathcliff . Les juro que si ven esa miniserie, The Walking Dead ya no tendr tanta seriedad como antes... "
"48","Wuthering Heights"," 31, 2015 Vina","it was amazing"," What a great way to finish the year I would take Heathcliff over Mr Darcy any day.My only regret is reading it in French. The blurb says it s one of the most unique gothic novels of all times. But to be perfectly honest, I couldn t care less about the gothic elements of Wuthering heights. It s a passionate yet doomed romance.I loved EVERY.SINGLE character on this book.I love how they love and hate so violently.How they re blurring the lines between good and bad, god and the devil.And Heathcliff ,my favorite jerk Many people will call him brutish, cruel, despicable and obsessed which he is, but I loved his passion for Catherine and his revenge from those who wronged him.Couldn t be happier with ending too.I can t bring myself to stop thinking about what a couple Emily Bronte and Sade De Marquise would make.She s wild and violent ,he s a savage. Would have loved a collaboration between those two. "
"49","Wuthering Heights"," 21, 2014 Haya nother book Junkie","it was amazing"," FIVE STARS Wuthering HeightsBY Emily Bront So for people who read my reviews, and know how i write, you have probably guessed that English is not in fact my mother tongue I have been learning English in school since i was 10, but school cannot teach you how to learn a language properly so now that i am in University, i m studying English Literature, and this is exactly why i am reading Wuthering Heights for the first time. My Literature teacher asked us to give oral presentations about any British literary work we are interested in. Everyone choose poems and short stories, i was the only one who choose a novel i choose Emily Bront , simple because i was curious about this so called Wuthering Heights and it is a shame that at this age i still haven t read it, so i read it Let me just say, what we are reading nowadays is absolutely Rubbish , NOTHING can compare to a classic that is well wriiten as Wuthering Heights Emily Bront is a genius. how she could possible write such a story, is it beyond me, i thought this story was way beyond its time, but yet again we really should not underestimate the power of imagination.In my Presentation i focused mostly on the love between Catherine Earnshaw and Heathcliff. I also talked about how selfish and cruel Catherine was i talked about how she used Heathcliff love againts him, how she wanted him to sit and watch her marry another guy, and not move on it was like she s saying you sit here and watch me me marry another guy, and stay in love with me, don t go anywhere, you are not allowed to move on, just sit there and watch me WHAT IS WONG WITH YOU Catherine Earnshaw is probably the worst character i have ever read about, in classic or in a modern work But then maybe she was this way because she really was just a kid i mean she dies in the story when she was 18 19 so she didn t get to have any life experiences the same goes for Heathcliff. Everything Heathcliff did was justified i loved this character. I cried at a lot of scenes, he went through so much, so much suffering and heartache. Heathcliff is beautiful, yet ugly in ways that defy the ordinary imagination i thought that he didn t love Catherine as Catherine he loved the idea behind her, and he LOVED how she was when she was a kid, and he was stuck there he thought she was the same nice, gentle girl he grew up to love, and not this selfish, self centered woman.This story is timeless. REVIEWSOF WUTHERING HEIGHTS Reviewer AnonymousPublication New Monthly MagazineDate January 1848Wuthering Heights, by Ellis Bell, is a terrific story, associated with an equally fearful and repulsive spot. It should have been called Withering Heights, for any thing from which the mind and body would more instinctively shrink, than the mansion and its tenants, cannot be imagined. ...Our novel reading experience does not enable us to refer to anything to be compared with the personages we are introduced to at this desolate spot a perfect misanthropist s heaven.Reviewer AnonymousPublication Graham s Lady s Magazine USA Date July 1848How a human being could have attempted such a book as the present without committing suicide before he had finished a dozen chapters, is a mystery. It is a compound of vulgar depravity and unnatural horrors... The novel really should have been called Withering Heights. I am not a literature critics and Whatever i say about this novel i truly can t give it its justice. great story, i ll be reading this beautiful tragedy, this beautiful mess a lot in the future . Catherine and Heathcliff If you have any questions at all about this novel, or you just want to discuss something in it, don t hesitate to write meh x "
"50","Wuthering Heights"," 08, 2016 Jean Paul Werner Walshaw Sauter","it was amazing"," Die wahnsinnige Kate, 1806 1807 Johann Heinrich F ssli Wuthering HeightsOut on the wiley, windy moorsWe d roll and fall in green.You had a temper like my jealousy Too hot, too greedy.How could you leave me, When I needed to possess you I hated you. I loved you, too.Bad dreams in the night.They told me I was going to lose the fight, Leave behind my wuthering, wutheringWuthering Heights.Heathcliff, it s me, your Cathy.I ve come home. I m so cold Let me in a your window.Ooh, it gets dark It gets lonely, On the other side from you.I pine a lot. I find the lotFalls through without you.I m coming back, love.Cruel Heathcliff, my one dream, My only master.Too long I roam in the night.I m coming back to his side, to put it right.I m coming home to wuthering, wuthering, Wuthering Heights, Heathcliff, it s me, your Cathy.I ve come home. I m so cold Let me in a your window.Ooh Let me have it.Let me grab your soul away.Ooh Let me have it.Let me grab your soul away.You know it s me Cathy Heathcliff, it s me, your Cathy.I ve come home. I m so cold Let me in a your window.Kate Bush Wuthering Heights was written between October 1845 and June 1846 and is Emily Bront s only novel. It was published in 1847 under the pseudonym Ellis Bell Emily Bront died the following year, aged 30. In 1850, when a second edition of Wuthering Heights was due, Charlotte Bront edited the original text, altering punctuation, correcting spelling errors and making Joseph s heavy Yorkshire dialect less impenetrable. The novel was widely rejected by the Victorian readership because of its strong depiction of cruelty and inhumanity and because of the way in which it challenged strict Victorian ideals, touching on religious hypocrisy and issues of morality, social injustice and gender inequality. At the time of its publication, critics acknowledged the novel s power and imagination, but were confounded by the storyline and found the characters extremely brash and uninhibited. The Victorian novel was known for its realism, a literary movement that sought to portray life as it really is, even in its most mundane manifestations. However, in Wuthering Heights, Emily Bront makes a point of making the reader feel dislodged and unstable, making the narrative seem as if it existed in a world entirely separate from our own. This is reinforced from the outset by the geographic isolation of the novel s location. The strangeness is also amplified in the complicated narrative framework at one given moment, we find ourselves reading Lockwood s version of Nelly s version of Isabella s version of what took place enhancing the readers bewilderment through the lack of direct contact with the actual facts and events. This, coupled with the novels encroachment on Victorian taboos, explains its hostile reception. Its present day popularity dates back to the beginning of the 20th century and today Wuthering Heights is widely recognized as one of the classics of 19th century English literature and is a set book on both A level and university syllabuses. Laurence Olivier and Merle Oberon in the 1939 film Wuthering Heights I want you to be aware that I know you have treated me infernally infernally Do you hear And if you flatter yourself that I don t perceive it, you are a fool and if you think I can be consoled by sweet words, you are an idiot and if you fancy I ll suffer unrevenged, I ll convince you of the contrary, in a very little while When I picked up this book I was expecting an intense and tumultuous love story set on the Yorkshire Moors, however neither the Kate Bush song of my youth, Wuthering Heights, nor the film starring Laurence Olivier and Merle Oberon prepared me for the book that lay in my lap and which proved to be of a completely different nature. The novel is a violent story of revenge, abounding in physical and mental cruelty. It recounts the life of Heathcliff, a mysterious dark skinned gypsy like street urchin, from his childhood to his death in his late thirties. Heathcliff is initially welcomed as a son into the Earnshaw family by his adoptive parents, but after his foster father s death, Heathcliff s status is reduced to that of a servant. Heathcliff is in love with Catherine, his adoptive sister, and runs away when she decides to marry another. He returns later, rich and educated, and sets about enacting his revenge on the two families that he believed ruined his life.There is a strong sense of dualism in this novel the stifling domestic indoors which contrasts with the liberating air of the outdoors two families two houses male and female the novel is divided into two sections about two love stories, recounted by two different narrators and even the character of Heathcliff has a dual nature both villain and hero. However this duality is never really resolved we are not invited to judge and either condemn or condone. The book lacks a moral core and there are no ethical standards, this is reinforced by the negative portrayal of religion. Its success seems to lie in its primeval force and wealth of facets morality, religion, illegitimacy, incest, gender equality, social injustice. Each generation finds a reflection of its preoccupations within its volatile content.Wuthering Heights is a wild, savage and subversive novel, it spews forth the violent nature of love like a volcano, engulfing and burring everything in its path under a suffocating layer of molten lava. It depicts, in sulphurous language, how love blinds how it distorts reality how it leads to selfishness, incomprehension and finally to destructive obsession. The love portrayed by Emily Bront is an addiction, breaking down the boundaries of identity, merging with the lover into one identity, and replacing God. The Wild Moors by wanderingsoul Love blinds Heathcliff s adoptive father s blind favouritism turns the entire household with the exception of Catherine against Heathcliff So, from the very beginning, he bred bad feeling in the house and at Mrs. Earnshaw s death, which happened in less than two years after, the young master had learned to regard his father as an oppressor rather than a friend, and Heathcliff as a usurper of his parent s affections and his privileges and he grew bitter with brooding over these injuries. Love distorts reality Catherine believes that by choosing to marry Linton, she is making the right decision, not for her betrothed, not for herself but for Heathcliff Nelly, I see now you think me a selfish wretch but did it never strike you that if Heathcliff and I married, we should be beggars whereas, if I marry Linton I can aid Heathcliff to rise, and place him out of my brother s power. Love is selfish Most of the forms of love which are depicted between the different characters in this novel are self centred and generally ignore the needs and feelings of others. What is paramount is the importance of the lover s own needs and feelings I have nearly attained my heaven and that of others is altogether unvalued and uncovered by me. Love is an addiction My love for Heathcliff resembles the eternal rocks beneath a source of little visible delight, but necessary. Nelly, I am Heathcliff He s always, always in my mind not as a pleasure, any more than I am always a pleasure to myself, but as my own being. So don t talk of our separation again it is impracticable and This is a brilliantly brave and brutal work of fiction. It bewitches the reader, casting a spell on us and turning us into misanthropists, for the only way to keep one s sanity in the face of this violent and destructive force is isolation I m now quite cured of seeking pleasure in society, be it country or town. A sensible man ought to find sufficient company in himself. The Bront sisters left to right, Anne, Emily and Charlotte , ca. 1834, by their brother Branwell who painted himself out of the middle of the painting In a letter to William Allingham dated 19th September 1854, the poet and painter Dante Gabriel Rossetti referred to it as A fiend of a book an incredible monster ... . The action is laid in hell, only it seems places and people have English names there. "
"51","Wuthering Heights"," 15, 2015 Arwen56","it was ok"," A mio modestissimo avviso, Heathcliff e Catherine avrebbero dovuto strangolarli nella culla. Ci saremmo cos risparmiati questa tediosa storia, fatta di 1 ti amo2 non ti amo3 magari un po ti amo4 forse non ti amo affatto5 spetta che ci penso sopra6 anche se ci penso sopra non ci capisco un cazzo7 mo ci penso sopra ancora un pochino8 continuo a non capirci un cazzo, anche se ci ho pensato sopra una cifra9 ah, ecco ma certo che ti amo 10 e adesso che abbiamo appurato che ti amo, andiamo a spasso in mezzo all erica fa niente se siamo solo due fantasmi, anzi meglio, cos non ci bagniamo i piedi, visto il clima umido che fa da queste parti.Ecco, in tal caso avremmo avuto, invece di questa, una di quelle belle storie piene di suspense in cui i due giovani virgulti, di pochi mesi appena, vengono trovati morti in circostanze misteriose. Chi sar mai stato A questa domanda, naturalmente, tutti gli accaniti lettori nei paraggi avrebbero assunto un aria falsamente indifferente, si sarebbero finti occupatissimi, alcuni avrebbero persino finito per nascondersi dentro un armadio o sotto un tavolo e altri si sarebbero risolti a partire per Honolulu. Sino a che, finalmente, uno solo, il pi coraggioso, si sarebbe fatto avanti Sono stato io , avrebbe dichiarato. Se questi due fossero cresciuti, non li si sarebbe proprio potuti reggere . Standing ovation da parte di tutti gli accaniti lettori dall aria indifferente, di quelli fintamente occupatissimi, di quelli nascosti nell armadio o sotto il tavolo e persino di quelli partiti per Honolulu .Il colpevole viene assolto ipso facto e insignito della massima onorificenza per meriti umanitari. P "
"52","Wuthering Heights"," 07, 2016 Nickolas the Kid","it was amazing"," , 5 ... , , . . .. , 5 ... , , . . .. , . , . ... ... ... ... , 10 .... ... . , . ... "
"53","Wuthering Heights"," 25, 2013 Tea Jovanovi","it was amazing"," Kod nas jeto prevele sjajna Zora Minderovic, legenda srpskog prevodilastva.."
